target_name,horizon_steps,threshold,rows,sell_share,neutral_share,buy_share,imbalance_ratio,accuracy,f1_macro,precision_macro,recall_macro,walk_forward_f1_mean,walk_forward_f1_std,walk_forward_accuracy_mean,sell_precision,sell_recall,sell_f1,neutral_precision,neutral_recall,neutral_f1,buy_precision,buy_recall,buy_f1,balance_score,stability_score
h18_t05,18,0.0005,24327,0.2545731080692235,0.49484112303202205,0.25058576889875445,1.9747375328083991,0.38224414303329224,0.36315219414309435,0.3916542653643369,0.38859839806250185,0.28709897852847965,0.0315098623184986,0.3322920092074975,0.28897180762852404,0.5784232365145229,0.38540226707215924,0.5235571260306242,0.3808911739502999,0.4409722222222222,0.36243386243386244,0.20648078372268275,0.2630820931349016,0.5063964113640139,0.9694526795432913
h12_t05,12,0.0005,24333,0.21226318168742037,0.5772818805737064,0.21045493773887314,2.743018941612966,0.35401684816108486,0.3425995474222307,0.37470973831732807,0.37930183158156766,0.31990844855131223,0.025906990062140377,0.3270305820453798,0.23749456285341453,0.5316455696202531,0.32832230907997595,0.603988603988604,0.3111926605504587,0.4107532090094454,0.28264604810996563,0.295067264573991,0.28872312417727075,0.36456182814835913,0.9747472331185001
h18_t06,18,0.0006,24327,0.21963250709088666,0.5648867513462408,0.21548074156287253,2.6215185043876383,0.3460748047677764,0.3292350011757732,0.37605046104593204,0.3754594294058278,0.26977531832500234,0.044220756881574105,0.3691219993423216,0.23623511904761904,0.6147144240077445,0.34130610051061544,0.5948148148148148,0.30176625328823753,0.40039890301670406,0.2971014492753623,0.2098976109215017,0.246,0.3814583030126619,0.9576519078076619
h18_t08,18,0.0008,24327,0.16298762691659474,0.6778476589797344,0.1591647141036708,4.258780991735537,0.3372379778051788,0.3135502344539178,0.3796521715131311,0.38213805468399825,0.2408288334896803,0.042726664488767455,0.370437356132851,0.17703703703703705,0.615979381443299,0.27502876869965476,0.698237885462555,0.3,0.41968225948808474,0.263681592039801,0.23043478260869565,0.2459396751740139,0.23480897513644633,0.9590240990818859
h18_t04,18,0.0004,24327,0.29354215480741563,0.41714966909195544,0.2893081761006289,1.4418868996874112,0.35347307850390464,0.30502529319097366,0.36933091884544883,0.34389962967940974,0.2852328155364921,0.03234460721370283,0.36550476816836563,0.37083333333333335,0.06366237482117311,0.10866910866910867,0.43252595155709345,0.3814852492370295,0.40540540540540543,0.30463347164591975,0.5865512649800266,0.4010013654984069,0.6935356720536066,0.9686687885152993
h24_t04,24,0.0004,24321,0.3236297849595,0.36252621191562845,0.3138440031248715,1.1551159439276824,0.35334018499486125,0.2932708976650956,0.39358261425375524,0.36330261556387944,0.2959261128855494,0.05106184203247266,0.35074013157894735,0.33503355704697985,0.8056810845706908,0.4732650739476678,0.4023809523809524,0.2041062801932367,0.2708333333333333,0.44333333333333336,0.08012048192771085,0.1357142857142857,0.8657139616649655,0.9514188033562966
h24_t06,24,0.0006,24321,0.24764606718473747,0.507174869454381,0.24517906336088155,2.0685896360892166,0.32990750256937307,0.2842621546246811,0.39982553263080867,0.37800565506027733,0.2483745416010909,0.06781309747408662,0.28593749999999996,0.2708729942888224,0.8390901432181971,0.4095394736842105,0.5619369369369369,0.21153030945315812,0.30736064059131507,0.36666666666666664,0.08339651250947688,0.13588634959851761,0.48342115930279694,0.9364934765882731
h24_t08,24,0.0008,24321,0.19131614654002713,0.6203692282389704,0.18831462522100242,3.2943231441048035,0.3167523124357657,0.28068795511068395,0.40074212239639745,0.38106807430496953,0.26644982068767126,0.082110962765016,0.309375,0.21475550471833,0.804930332261522,0.33905191873589163,0.6477272727272727,0.2374175633460604,0.3474726949453899,0.33974358974358976,0.10085632730732635,0.15553925165077037,0.30355249204665957,0.9241196461449706
h12_t04,12,0.0004,24333,0.2543870463978959,0.4929108617926273,0.25270209180947684,1.9505610668401365,0.3100472570371892,0.2792586674201976,0.36377583715584283,0.3474417148668714,0.31501017899690864,0.021959014731896827,0.3689575797435054,0.2594086021505376,0.15950413223140497,0.19754350051177072,0.5570987654320988,0.1538133787814231,0.24106844741235392,0.27482014388489207,0.7290076335877863,0.3991640543364681,0.5126730031682508,0.9785128225150422
h6_t04,6,0.0004,24339,0.18299847980607256,0.6356464932823863,0.18135502691154115,3.5049841413683733,0.2569843878389482,0.2548001331222741,0.3785082084845118,0.3526333886665724,0.27612679301926163,0.0400616767548191,0.33185404339250496,0.1909275558564658,0.6225165562913907,0.2922279792746114,0.7362637362637363,0.1331566743954952,0.2255259467040673,0.20833333333333334,0.3022269353128314,0.24664647338814366,0.28530799560467973,0.9614814412931559
h24_t05,24,0.0005,24321,0.28551457588092594,0.4358784589449447,0.27860696517412936,1.5644923258559622,0.31099691675231245,0.2380679723332705,0.42368052358620617,0.36203295252477696,0.25170783108655115,0.07216740479245269,0.2977796052631579,0.29167649139353924,0.9129151291512915,0.4421015010721944,0.5666666666666667,0.033680039623576026,0.06358111266947171,0.4126984126984127,0.13950368879946345,0.20852130325814536,0.6391849825488162,0.9326901708913425
h6_t08,6,0.0008,24339,0.06627223797197913,0.8659764164509635,0.06775134557705739,13.06695598264104,0.27834839769926045,0.23411262992217732,0.3729494076858715,0.398182292502935,0.2125607124155601,0.07506413515147521,0.3296351084812623,0.0756089844985764,0.7353846153846154,0.13711990820424555,0.8920552677029361,0.24903567984570876,0.38937052393516774,0.151183970856102,0.21012658227848102,0.17584745762711865,0.07652891777767235,0.9301770632122346
h12_t06,12,0.0006,24333,0.17581062754284305,0.6498171207824764,0.17437225167468048,3.726608531699269,0.3184713375796178,0.23387530615194196,0.30675149227213305,0.3568737967403078,0.28443654675201646,0.02540242522758405,0.3031897402170339,0.0,0.0,0.0,0.7148148148148148,0.25253516519463526,0.3732173072274595,0.20543966200158437,0.8180862250262881,0.3284086112283664,0.2683405008854035,0.9752268722965561
h12_t08,12,0.0008,24333,0.1219331771668105,0.7568322853737722,0.12123453745941726,6.242711864406779,0.22272447092664885,0.22155622055646743,0.3921208843377486,0.39139595563791,0.22495334249596005,0.026552629522985892,0.2704702400526143,0.13612420293873026,0.8307952622673435,0.23392091472129586,0.8257575757575758,0.12226584408300617,0.21299462628236443,0.21448087431693988,0.2211267605633803,0.217753120665742,0.16018679409209385,0.974134176115915
h6_t05,6,0.0005,24339,0.14178889847569745,0.7162167714367887,0.14199433008751386,5.051289481309765,0.235620377978636,0.20639431092328067,0.34980040673001755,0.3414286038973393,0.27661882219579215,0.05076066497972229,0.3233070348454964,0.13257575757575757,0.10014306151645208,0.11409942950285248,0.7570093457943925,0.14239671842953414,0.23970406905055486,0.15981611681990265,0.7817460317460317,0.2653794342164347,0.197969251950436,0.9516915062853996
h6_t06,6,0.0006,24339,0.10986482599942479,0.7807222975471465,0.10941287645342865,7.135561396920766,0.21918652423993426,0.19897621152815306,0.3791942510035487,0.3807120166870727,0.2364285012543577,0.060278102178655944,0.3157462195923735,0.12519399896533887,0.8897058823529411,0.21950113378684807,0.8300970873786407,0.13823767178658045,0.23700623700623702,0.18229166666666666,0.11419249592169657,0.14042126379137412,0.14014314282707085,0.9431487813859432
