variant,threshold,month,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
no_policy,0.40,2024-01,4900,2085,0.42551,0.258513,0.197674,0.278521,-0.056494,-117.79,0.911047,420.28,"{""DO_NOTHING"": 2815, ""ENTER_BUY"": 516, ""ENTER_SELL"": 1569}","{""DO_NOTHING"": 3222, ""ENTER_BUY"": 711, ""ENTER_SELL"": 967}",False
no_policy,0.40,2024-02,4900,1492,0.30449,0.297587,0.28867,0.316562,0.158546,236.55,1.289804,192.82,"{""DO_NOTHING"": 3408, ""ENTER_BUY"": 1015, ""ENTER_SELL"": 477}","{""DO_NOTHING"": 3681, ""ENTER_BUY"": 652, ""ENTER_SELL"": 567}",False
no_policy,0.40,2024-03,4857,1360,0.280008,0.136029,0.164882,0.07277,-0.141515,-192.46,0.762747,262.17,"{""DO_NOTHING"": 3497, ""ENTER_BUY"": 934, ""ENTER_SELL"": 426}","{""DO_NOTHING"": 3713, ""ENTER_BUY"": 475, ""ENTER_SELL"": 669}",False
no_policy,0.40,2024-04,4901,1875,0.382575,0.260267,0.25583,0.273913,0.076784,143.97,1.140293,175.1,"{""DO_NOTHING"": 3026, ""ENTER_BUY"": 1415, ""ENTER_SELL"": 460}","{""DO_NOTHING"": 3419, ""ENTER_BUY"": 741, ""ENTER_SELL"": 741}",False
no_policy,0.40,2024-05,5476,1590,0.290358,0.154088,0.189536,0.091854,-0.131925,-209.76,0.776537,339.61,"{""DO_NOTHING"": 3886, ""ENTER_BUY"": 1013, ""ENTER_SELL"": 577}","{""DO_NOTHING"": 4306, ""ENTER_BUY"": 677, ""ENTER_SELL"": 493}",False
no_policy,0.40,2024-06,4612,1489,0.322853,0.200134,0.195632,0.211009,-0.050826,-75.68,0.91449,253.94,"{""DO_NOTHING"": 3123, ""ENTER_BUY"": 1053, ""ENTER_SELL"": 436}","{""DO_NOTHING"": 3394, ""ENTER_BUY"": 492, ""ENTER_SELL"": 726}",False
no_policy,0.40,2024-07,5000,1258,0.2516,0.209857,0.160041,0.386282,0.155231,195.28,1.332199,189.63,"{""DO_NOTHING"": 3742, ""ENTER_BUY"": 981, ""ENTER_SELL"": 277}","{""DO_NOTHING"": 4219, ""ENTER_BUY"": 358, ""ENTER_SELL"": 423}",False
no_policy,0.40,2024-08,5188,1806,0.348111,0.249169,0.298441,0.200441,0.105609,190.73,1.201645,140.62,"{""DO_NOTHING"": 3382, ""ENTER_BUY"": 898, ""ENTER_SELL"": 908}","{""DO_NOTHING"": 3684, ""ENTER_BUY"": 801, ""ENTER_SELL"": 703}",False
no_policy,0.40,2024-09,4613,1354,0.293518,0.20384,0.218837,0.198389,-0.201359,-272.64,0.694603,382.72,"{""DO_NOTHING"": 3259, ""ENTER_BUY"": 361, ""ENTER_SELL"": 993}","{""DO_NOTHING"": 3223, ""ENTER_BUY"": 785, ""ENTER_SELL"": 605}",False
no_policy,0.40,2024-10,5476,1666,0.304237,0.257503,0.140299,0.336345,0.216411,360.54,1.461485,111.54,"{""DO_NOTHING"": 3810, ""ENTER_BUY"": 670, ""ENTER_SELL"": 996}","{""DO_NOTHING"": 4215, ""ENTER_BUY"": 427, ""ENTER_SELL"": 834}",False
no_policy,0.40,2024-11,4888,2664,0.545008,0.297673,0.308785,0.269987,0.011404,30.38,1.017998,391.76,"{""DO_NOTHING"": 2224, ""ENTER_BUY"": 1901, ""ENTER_SELL"": 763}","{""DO_NOTHING"": 2613, ""ENTER_BUY"": 1115, ""ENTER_SELL"": 1160}",False
no_policy,0.40,2024-12,4567,1925,0.421502,0.26961,0.236015,0.340323,0.007709,14.84,1.012874,237.12,"{""DO_NOTHING"": 2642, ""ENTER_BUY"": 1305, ""ENTER_SELL"": 620}","{""DO_NOTHING"": 2761, ""ENTER_BUY"": 914, ""ENTER_SELL"": 892}",False
no_policy,0.40,2025-01,4844,2781,0.574112,0.311039,0.310111,0.312338,0.093563,260.2,1.160602,155.28,"{""DO_NOTHING"": 2063, ""ENTER_BUY"": 1622, ""ENTER_SELL"": 1159}","{""DO_NOTHING"": 2821, ""ENTER_BUY"": 928, ""ENTER_SELL"": 1095}",False
no_policy,0.40,2025-02,4612,2534,0.549436,0.234807,0.249293,0.201307,-0.059519,-150.82,0.903304,319.06,"{""DO_NOTHING"": 2078, ""ENTER_BUY"": 1769, ""ENTER_SELL"": 765}","{""DO_NOTHING"": 2861, ""ENTER_BUY"": 905, ""ENTER_SELL"": 846}",False
no_policy,0.40,2025-03,4577,2257,0.493118,0.3035,0.355748,0.267416,0.014134,31.9,1.022479,304.36,"{""DO_NOTHING"": 2320, ""ENTER_BUY"": 922, ""ENTER_SELL"": 1335}","{""DO_NOTHING"": 2332, ""ENTER_BUY"": 1164, ""ENTER_SELL"": 1081}",False
no_policy,0.40,2025-04,5188,3380,0.651503,0.391716,0.446049,0.357074,0.197308,666.9,1.33061,131.0,"{""DO_NOTHING"": 1808, ""ENTER_BUY"": 1316, ""ENTER_SELL"": 2064}","{""DO_NOTHING"": 2083, ""ENTER_BUY"": 1674, ""ENTER_SELL"": 1431}",False
no_policy,0.40,2025-05,5176,2807,0.542311,0.307446,0.364103,0.266952,-0.018094,-50.79,0.972259,235.24,"{""DO_NOTHING"": 2369, ""ENTER_BUY"": 1170, ""ENTER_SELL"": 1637}","{""DO_NOTHING"": 2371, ""ENTER_BUY"": 1562, ""ENTER_SELL"": 1243}",False
no_policy,0.40,2025-06,4613,2234,0.484284,0.318263,0.394399,0.270879,0.046486,103.85,1.074342,184.46,"{""DO_NOTHING"": 2379, ""ENTER_BUY"": 857, ""ENTER_SELL"": 1377}","{""DO_NOTHING"": 2481, ""ENTER_BUY"": 1207, ""ENTER_SELL"": 925}",False
no_policy,0.40,2025-07,5235,2504,0.478319,0.342252,0.225641,0.395012,0.169704,424.94,1.299481,134.98,"{""DO_NOTHING"": 2731, ""ENTER_BUY"": 780, ""ENTER_SELL"": 1724}","{""DO_NOTHING"": 2834, ""ENTER_BUY"": 946, ""ENTER_SELL"": 1455}",False
no_policy,0.40,2025-08,4898,2275,0.464475,0.258022,0.361111,0.240902,-0.088475,-201.28,0.867015,300.87,"{""DO_NOTHING"": 2623, ""ENTER_BUY"": 324, ""ENTER_SELL"": 1951}","{""DO_NOTHING"": 2914, ""ENTER_BUY"": 974, ""ENTER_SELL"": 1010}",False
no_policy,0.40,2025-09,4901,2095,0.427464,0.280191,0.237261,0.298569,0.012974,27.18,1.021328,227.49,"{""DO_NOTHING"": 2806, ""ENTER_BUY"": 628, ""ENTER_SELL"": 1467}","{""DO_NOTHING"": 3081, ""ENTER_BUY"": 863, ""ENTER_SELL"": 957}",False
no_policy,0.40,2025-10,5429,2227,0.410204,0.309385,0.3125,0.308455,0.235182,523.75,1.469331,141.32,"{""DO_NOTHING"": 3202, ""ENTER_BUY"": 512, ""ENTER_SELL"": 1715}","{""DO_NOTHING"": 3455, ""ENTER_BUY"": 956, ""ENTER_SELL"": 1018}",False
no_policy,0.40,2025-11,4612,1722,0.373374,0.24158,0.103604,0.262,0.007718,13.29,1.013322,196.0,"{""DO_NOTHING"": 2890, ""ENTER_BUY"": 222, ""ENTER_SELL"": 1500}","{""DO_NOTHING"": 3314, ""ENTER_BUY"": 621, ""ENTER_SELL"": 677}",False
no_policy,0.40,2025-12,4596,1337,0.290905,0.23261,0.393443,0.207106,0.13454,179.88,1.265415,249.07,"{""DO_NOTHING"": 3259, ""ENTER_BUY"": 183, ""ENTER_SELL"": 1154}","{""DO_NOTHING"": 3497, ""ENTER_BUY"": 616, ""ENTER_SELL"": 483}",False
no_policy,0.40,2026-01,4611,1912,0.414661,0.319561,0.316883,0.320236,0.069697,133.26,1.116177,301.7,"{""DO_NOTHING"": 2699, ""ENTER_BUY"": 385, ""ENTER_SELL"": 1527}","{""DO_NOTHING"": 2888, ""ENTER_BUY"": 857, ""ENTER_SELL"": 866}",False
no_policy,0.40,2026-02,4539,1784,0.393038,0.263453,0.232659,0.282967,0.075768,135.17,1.139503,116.51,"{""DO_NOTHING"": 2755, ""ENTER_BUY"": 692, ""ENTER_SELL"": 1092}","{""DO_NOTHING"": 3177, ""ENTER_BUY"": 581, ""ENTER_SELL"": 781}",False
no_policy,0.40,2026-03,4866,2233,0.458898,0.331841,0.353698,0.316154,0.135804,303.25,1.229259,132.21,"{""DO_NOTHING"": 2633, ""ENTER_BUY"": 933, ""ENTER_SELL"": 1300}","{""DO_NOTHING"": 2382, ""ENTER_BUY"": 1060, ""ENTER_SELL"": 1424}",False
no_policy,0.40,2026-04,2294,1160,0.505667,0.159483,0.666667,0.152838,-0.318733,-369.73,0.548477,430.54,"{""DO_NOTHING"": 1134, ""ENTER_BUY"": 15, ""ENTER_SELL"": 1145}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_light,0.40,2024-01,4900,1989,0.405918,0.262443,0.217021,0.276498,-0.046687,-92.86,0.925993,378.28,"{""DO_NOTHING"": 2911, ""ENTER_BUY"": 470, ""ENTER_SELL"": 1519}","{""DO_NOTHING"": 3222, ""ENTER_BUY"": 711, ""ENTER_SELL"": 967}",False
rich_policy_light,0.40,2024-02,4900,1392,0.284082,0.313937,0.309072,0.324324,0.217766,303.13,1.413085,167.82,"{""DO_NOTHING"": 3508, ""ENTER_BUY"": 948, ""ENTER_SELL"": 444}","{""DO_NOTHING"": 3681, ""ENTER_BUY"": 652, ""ENTER_SELL"": 567}",False
rich_policy_light,0.40,2024-03,4857,978,0.201359,0.124744,0.164763,0.057534,-0.085808,-83.92,0.845849,163.55,"{""DO_NOTHING"": 3879, ""ENTER_BUY"": 613, ""ENTER_SELL"": 365}","{""DO_NOTHING"": 3713, ""ENTER_BUY"": 475, ""ENTER_SELL"": 669}",False
rich_policy_light,0.40,2024-04,4901,1779,0.362987,0.260259,0.256979,0.272251,0.076785,136.6,1.139449,187.69,"{""DO_NOTHING"": 3122, ""ENTER_BUY"": 1397, ""ENTER_SELL"": 382}","{""DO_NOTHING"": 3419, ""ENTER_BUY"": 741, ""ENTER_SELL"": 741}",False
rich_policy_light,0.40,2024-05,5476,1128,0.20599,0.133865,0.203101,0.041408,-0.18867,-212.82,0.690961,318.1,"{""DO_NOTHING"": 4348, ""ENTER_BUY"": 645, ""ENTER_SELL"": 483}","{""DO_NOTHING"": 4306, ""ENTER_BUY"": 677, ""ENTER_SELL"": 493}",False
rich_policy_light,0.40,2024-06,4612,1324,0.287077,0.207704,0.194681,0.239583,0.011745,15.55,1.020843,204.33,"{""DO_NOTHING"": 3288, ""ENTER_BUY"": 940, ""ENTER_SELL"": 384}","{""DO_NOTHING"": 3394, ""ENTER_BUY"": 492, ""ENTER_SELL"": 726}",False
rich_policy_light,0.40,2024-07,5000,930,0.186,0.230108,0.166181,0.409836,0.332269,309.01,1.866691,99.88,"{""DO_NOTHING"": 4070, ""ENTER_BUY"": 686, ""ENTER_SELL"": 244}","{""DO_NOTHING"": 4219, ""ENTER_BUY"": 358, ""ENTER_SELL"": 423}",False
rich_policy_light,0.40,2024-08,5188,1066,0.205474,0.268293,0.320417,0.179747,0.16682,177.83,1.331506,115.62,"{""DO_NOTHING"": 4122, ""ENTER_BUY"": 671, ""ENTER_SELL"": 395}","{""DO_NOTHING"": 3684, ""ENTER_BUY"": 801, ""ENTER_SELL"": 703}",False
rich_policy_light,0.40,2024-09,4613,1131,0.245177,0.147657,0.17094,0.141583,-0.333015,-376.64,0.516347,416.28,"{""DO_NOTHING"": 3482, ""ENTER_BUY"": 234, ""ENTER_SELL"": 897}","{""DO_NOTHING"": 3223, ""ENTER_BUY"": 785, ""ENTER_SELL"": 605}",False
rich_policy_light,0.40,2024-10,5476,1590,0.290358,0.26478,0.145963,0.345666,0.251943,400.59,1.552721,111.54,"{""DO_NOTHING"": 3886, ""ENTER_BUY"": 644, ""ENTER_SELL"": 946}","{""DO_NOTHING"": 4215, ""ENTER_BUY"": 427, ""ENTER_SELL"": 834}",False
rich_policy_light,0.40,2024-11,4888,2585,0.528846,0.295551,0.302767,0.277628,0.008658,22.38,1.013663,353.76,"{""DO_NOTHING"": 2303, ""ENTER_BUY"": 1843, ""ENTER_SELL"": 742}","{""DO_NOTHING"": 2613, ""ENTER_BUY"": 1115, ""ENTER_SELL"": 1160}",False
rich_policy_light,0.40,2024-12,4567,1841,0.403109,0.275937,0.247588,0.335008,0.034449,63.42,1.058606,203.54,"{""DO_NOTHING"": 2726, ""ENTER_BUY"": 1244, ""ENTER_SELL"": 597}","{""DO_NOTHING"": 2761, ""ENTER_BUY"": 914, ""ENTER_SELL"": 892}",False
rich_policy_light,0.40,2025-01,4844,2375,0.490297,0.281263,0.286505,0.273118,0.006922,16.44,1.011338,179.43,"{""DO_NOTHING"": 2469, ""ENTER_BUY"": 1445, ""ENTER_SELL"": 930}","{""DO_NOTHING"": 2821, ""ENTER_BUY"": 928, ""ENTER_SELL"": 1095}",False
rich_policy_light,0.40,2025-02,4612,2176,0.471813,0.247702,0.265943,0.209402,-0.014205,-30.91,0.976391,270.51,"{""DO_NOTHING"": 2436, ""ENTER_BUY"": 1474, ""ENTER_SELL"": 702}","{""DO_NOTHING"": 2861, ""ENTER_BUY"": 905, ""ENTER_SELL"": 846}",False
rich_policy_light,0.40,2025-03,4577,857,0.187241,0.358226,0.362963,0.350158,0.241505,206.97,1.44595,98.69,"{""DO_NOTHING"": 3720, ""ENTER_BUY"": 540, ""ENTER_SELL"": 317}","{""DO_NOTHING"": 2332, ""ENTER_BUY"": 1164, ""ENTER_SELL"": 1081}",False
rich_policy_light,0.40,2025-04,5188,2293,0.441981,0.384213,0.451859,0.32717,0.166079,380.82,1.272669,145.38,"{""DO_NOTHING"": 2895, ""ENTER_BUY"": 1049, ""ENTER_SELL"": 1244}","{""DO_NOTHING"": 2083, ""ENTER_BUY"": 1674, ""ENTER_SELL"": 1431}",False
rich_policy_light,0.40,2025-05,5176,2649,0.511785,0.303133,0.358423,0.262883,-0.027999,-74.17,0.957223,259.24,"{""DO_NOTHING"": 2527, ""ENTER_BUY"": 1116, ""ENTER_SELL"": 1533}","{""DO_NOTHING"": 2371, ""ENTER_BUY"": 1562, ""ENTER_SELL"": 1243}",False
rich_policy_light,0.40,2025-06,4613,1122,0.243226,0.299465,0.340807,0.272189,-0.005383,-6.04,0.991595,124.1,"{""DO_NOTHING"": 3491, ""ENTER_BUY"": 446, ""ENTER_SELL"": 676}","{""DO_NOTHING"": 2481, ""ENTER_BUY"": 1207, ""ENTER_SELL"": 925}",False
rich_policy_light,0.40,2025-07,5235,2054,0.392359,0.336417,0.233444,0.37931,0.158598,325.76,1.277434,128.82,"{""DO_NOTHING"": 3181, ""ENTER_BUY"": 604, ""ENTER_SELL"": 1450}","{""DO_NOTHING"": 2834, ""ENTER_BUY"": 946, ""ENTER_SELL"": 1455}",False
rich_policy_light,0.40,2025-08,4898,2097,0.428134,0.254173,0.42029,0.228995,-0.08959,-187.87,0.864992,276.59,"{""DO_NOTHING"": 2801, ""ENTER_BUY"": 276, ""ENTER_SELL"": 1821}","{""DO_NOTHING"": 2914, ""ENTER_BUY"": 974, ""ENTER_SELL"": 1010}",False
rich_policy_light,0.40,2025-09,4901,1654,0.337482,0.293833,0.21875,0.324532,0.081608,134.98,1.140808,144.87,"{""DO_NOTHING"": 3247, ""ENTER_BUY"": 480, ""ENTER_SELL"": 1174}","{""DO_NOTHING"": 3081, ""ENTER_BUY"": 863, ""ENTER_SELL"": 957}",False
rich_policy_light,0.40,2025-10,5429,2130,0.392337,0.305634,0.3125,0.303721,0.237099,505.02,1.477028,141.32,"{""DO_NOTHING"": 3299, ""ENTER_BUY"": 464, ""ENTER_SELL"": 1666}","{""DO_NOTHING"": 3455, ""ENTER_BUY"": 956, ""ENTER_SELL"": 1018}",False
rich_policy_light,0.40,2025-11,4612,1627,0.352775,0.254456,0.115,0.274001,0.028586,46.51,1.049527,196.24,"{""DO_NOTHING"": 2985, ""ENTER_BUY"": 200, ""ENTER_SELL"": 1427}","{""DO_NOTHING"": 3314, ""ENTER_BUY"": 621, ""ENTER_SELL"": 677}",False
rich_policy_light,0.40,2025-12,4596,744,0.16188,0.244624,0.404412,0.208882,0.109879,81.75,1.208487,100.13,"{""DO_NOTHING"": 3852, ""ENTER_BUY"": 136, ""ENTER_SELL"": 608}","{""DO_NOTHING"": 3497, ""ENTER_BUY"": 616, ""ENTER_SELL"": 483}",False
rich_policy_light,0.40,2026-01,4611,1590,0.344828,0.308805,0.243346,0.321778,0.059912,95.26,1.1008,213.7,"{""DO_NOTHING"": 3021, ""ENTER_BUY"": 263, ""ENTER_SELL"": 1327}","{""DO_NOTHING"": 2888, ""ENTER_BUY"": 857, ""ENTER_SELL"": 866}",False
rich_policy_light,0.40,2026-02,4539,1688,0.371888,0.242299,0.212481,0.262069,0.018916,31.93,1.033859,116.51,"{""DO_NOTHING"": 2851, ""ENTER_BUY"": 673, ""ENTER_SELL"": 1015}","{""DO_NOTHING"": 3177, ""ENTER_BUY"": 581, ""ENTER_SELL"": 781}",False
rich_policy_light,0.40,2026-03,4866,2167,0.445335,0.33318,0.347541,0.322684,0.143073,310.04,1.242837,141.21,"{""DO_NOTHING"": 2699, ""ENTER_BUY"": 915, ""ENTER_SELL"": 1252}","{""DO_NOTHING"": 2382, ""ENTER_BUY"": 1060, ""ENTER_SELL"": 1424}",False
rich_policy_light,0.40,2026-04,2294,609,0.265475,0.205255,0.0,0.206954,-0.155846,-94.91,0.751577,143.73,"{""DO_NOTHING"": 1685, ""ENTER_BUY"": 5, ""ENTER_SELL"": 604}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_medium,0.40,2024-01,4900,1373,0.280204,0.260743,0.208075,0.276879,-0.022105,-30.35,0.964021,295.84,"{""DO_NOTHING"": 3527, ""ENTER_BUY"": 322, ""ENTER_SELL"": 1051}","{""DO_NOTHING"": 3222, ""ENTER_BUY"": 711, ""ENTER_SELL"": 967}",False
rich_policy_medium,0.40,2024-02,4900,818,0.166939,0.300733,0.282374,0.339695,0.208545,170.59,1.397544,108.66,"{""DO_NOTHING"": 4082, ""ENTER_BUY"": 556, ""ENTER_SELL"": 262}","{""DO_NOTHING"": 3681, ""ENTER_BUY"": 652, ""ENTER_SELL"": 567}",False
rich_policy_medium,0.40,2024-03,4857,564,0.116121,0.157801,0.196765,0.082902,-0.061082,-34.45,0.891578,77.8,"{""DO_NOTHING"": 4293, ""ENTER_BUY"": 371, ""ENTER_SELL"": 193}","{""DO_NOTHING"": 3713, ""ENTER_BUY"": 475, ""ENTER_SELL"": 669}",False
rich_policy_medium,0.40,2024-04,4901,1157,0.236074,0.263613,0.263557,0.26383,0.165445,191.42,1.3285,90.29,"{""DO_NOTHING"": 3744, ""ENTER_BUY"": 922, ""ENTER_SELL"": 235}","{""DO_NOTHING"": 3419, ""ENTER_BUY"": 741, ""ENTER_SELL"": 741}",False
rich_policy_medium,0.40,2024-05,5476,680,0.124178,0.117647,0.209366,0.012618,-0.196074,-133.33,0.67669,201.58,"{""DO_NOTHING"": 4796, ""ENTER_BUY"": 363, ""ENTER_SELL"": 317}","{""DO_NOTHING"": 4306, ""ENTER_BUY"": 677, ""ENTER_SELL"": 493}",False
rich_policy_medium,0.40,2024-06,4612,776,0.168257,0.221649,0.205357,0.263889,0.084691,65.72,1.159159,119.52,"{""DO_NOTHING"": 3836, ""ENTER_BUY"": 560, ""ENTER_SELL"": 216}","{""DO_NOTHING"": 3394, ""ENTER_BUY"": 492, ""ENTER_SELL"": 726}",False
rich_policy_medium,0.40,2024-07,5000,558,0.1116,0.252688,0.190698,0.460938,0.438369,244.61,2.304239,55.0,"{""DO_NOTHING"": 4442, ""ENTER_BUY"": 430, ""ENTER_SELL"": 128}","{""DO_NOTHING"": 4219, ""ENTER_BUY"": 358, ""ENTER_SELL"": 423}",False
rich_policy_medium,0.40,2024-08,5188,640,0.123362,0.19375,0.203837,0.174888,0.054328,34.77,1.108456,100.43,"{""DO_NOTHING"": 4548, ""ENTER_BUY"": 417, ""ENTER_SELL"": 223}","{""DO_NOTHING"": 3684, ""ENTER_BUY"": 801, ""ENTER_SELL"": 703}",False
rich_policy_medium,0.40,2024-09,4613,709,0.153696,0.132581,0.186047,0.12069,-0.33055,-234.36,0.501478,290.64,"{""DO_NOTHING"": 3904, ""ENTER_BUY"": 129, ""ENTER_SELL"": 580}","{""DO_NOTHING"": 3223, ""ENTER_BUY"": 785, ""ENTER_SELL"": 605}",False
rich_policy_medium,0.40,2024-10,5476,1001,0.182798,0.241758,0.17284,0.288591,0.257123,257.38,1.614653,78.54,"{""DO_NOTHING"": 4475, ""ENTER_BUY"": 405, ""ENTER_SELL"": 596}","{""DO_NOTHING"": 4215, ""ENTER_BUY"": 427, ""ENTER_SELL"": 834}",False
rich_policy_medium,0.40,2024-11,4888,1898,0.388298,0.299262,0.314498,0.262206,0.039747,75.44,1.064432,283.61,"{""DO_NOTHING"": 2990, ""ENTER_BUY"": 1345, ""ENTER_SELL"": 553}","{""DO_NOTHING"": 2613, ""ENTER_BUY"": 1115, ""ENTER_SELL"": 1160}",False
rich_policy_medium,0.40,2024-12,4567,1251,0.273922,0.252598,0.251693,0.254795,0.022094,27.64,1.038569,160.66,"{""DO_NOTHING"": 3316, ""ENTER_BUY"": 886, ""ENTER_SELL"": 365}","{""DO_NOTHING"": 2761, ""ENTER_BUY"": 914, ""ENTER_SELL"": 892}",False
rich_policy_medium,0.40,2025-01,4844,1783,0.368084,0.255749,0.264014,0.242245,-0.067902,-121.07,0.892305,197.59,"{""DO_NOTHING"": 3061, ""ENTER_BUY"": 1106, ""ENTER_SELL"": 677}","{""DO_NOTHING"": 2821, ""ENTER_BUY"": 928, ""ENTER_SELL"": 1095}",False
rich_policy_medium,0.40,2025-02,4612,1641,0.355811,0.258988,0.260417,0.255624,0.057008,93.55,1.100866,197.69,"{""DO_NOTHING"": 2971, ""ENTER_BUY"": 1152, ""ENTER_SELL"": 489}","{""DO_NOTHING"": 2861, ""ENTER_BUY"": 905, ""ENTER_SELL"": 846}",False
rich_policy_medium,0.40,2025-03,4577,604,0.131964,0.357616,0.362069,0.348485,0.287748,173.8,1.556623,62.94,"{""DO_NOTHING"": 3973, ""ENTER_BUY"": 406, ""ENTER_SELL"": 198}","{""DO_NOTHING"": 2332, ""ENTER_BUY"": 1164, ""ENTER_SELL"": 1081}",False
rich_policy_medium,0.40,2025-04,5188,1828,0.352352,0.386214,0.460648,0.319502,0.175016,319.93,1.288868,118.38,"{""DO_NOTHING"": 3360, ""ENTER_BUY"": 864, ""ENTER_SELL"": 964}","{""DO_NOTHING"": 2083, ""ENTER_BUY"": 1674, ""ENTER_SELL"": 1431}",False
