variant,threshold,split,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution
no_policy,0.40,validation,59378,20564,0.346324,0.239739,0.2323,0.250294,0.014781,303.96,1.025651,566.89,"{""DO_NOTHING"": 38814, ""ENTER_BUY"": 12062, ""ENTER_SELL"": 8502}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
no_policy,0.40,test,74991,35242,0.46995,0.297855,0.319789,0.286051,0.057629,2030.95,1.096255,513.93,"{""DO_NOTHING"": 39749, ""ENTER_BUY"": 12330, ""ENTER_SELL"": 22912}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
no_policy,0.40,oos,134369,55806,0.415319,0.27644,0.276525,0.276374,0.04184,2334.91,1.070863,566.89,"{""DO_NOTHING"": 78563, ""ENTER_BUY"": 24392, ""ENTER_SELL"": 31414}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
rich_policy_light,0.40,validation,59378,17733,0.298646,0.244178,0.241703,0.247634,0.037347,662.27,1.065807,506.82,"{""DO_NOTHING"": 41645, ""ENTER_BUY"": 10335, ""ENTER_SELL"": 7398}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
rich_policy_light,0.40,test,74991,27832,0.371138,0.29599,0.311124,0.287389,0.062575,1741.58,1.105337,301.69,"{""DO_NOTHING"": 47159, ""ENTER_BUY"": 10086, ""ENTER_SELL"": 17746}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
rich_policy_light,0.40,oos,134369,45565,0.339104,0.275826,0.27599,0.275692,0.052757,2403.85,1.09038,506.82,"{""DO_NOTHING"": 88804, ""ENTER_BUY"": 20421, ""ENTER_SELL"": 25144}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
rich_policy_medium,0.40,validation,59378,11425,0.192411,0.239387,0.244259,0.232465,0.055587,635.08,1.101081,348.18,"{""DO_NOTHING"": 47953, ""ENTER_BUY"": 6706, ""ENTER_SELL"": 4719}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
rich_policy_medium,0.40,test,74991,19967,0.266259,0.295488,0.310004,0.286591,0.093171,1860.35,1.162071,266.14,"{""DO_NOTHING"": 55024, ""ENTER_BUY"": 7587, ""ENTER_SELL"": 12380}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
rich_policy_medium,0.40,oos,134369,31392,0.233625,0.27507,0.279158,0.271653,0.079493,2495.43,1.140497,348.18,"{""DO_NOTHING"": 102977, ""ENTER_BUY"": 14293, ""ENTER_SELL"": 17099}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
rich_policy_strict,0.40,validation,59378,5411,0.091128,0.214193,0.208358,0.223859,0.010283,55.64,1.018491,241.8,"{""DO_NOTHING"": 53967, ""ENTER_BUY"": 3374, ""ENTER_SELL"": 2037}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
rich_policy_strict,0.40,test,74991,11124,0.148338,0.294319,0.310487,0.282935,0.12421,1381.71,1.223173,219.07,"{""DO_NOTHING"": 63867, ""ENTER_BUY"": 4596, ""ENTER_SELL"": 6528}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
rich_policy_strict,0.40,oos,134369,16535,0.123057,0.268098,0.267252,0.268885,0.086928,1437.35,1.156228,241.8,"{""DO_NOTHING"": 117834, ""ENTER_BUY"": 7970, ""ENTER_SELL"": 8565}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
no_policy,0.50,validation,59378,3660,0.061639,0.285792,0.264109,0.321121,0.105413,385.81,1.187423,193.23,"{""DO_NOTHING"": 55718, ""ENTER_BUY"": 2268, ""ENTER_SELL"": 1392}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
no_policy,0.50,test,74991,6765,0.090211,0.320769,0.368388,0.30639,0.082132,555.62,1.136375,292.51,"{""DO_NOTHING"": 68226, ""ENTER_BUY"": 1569, ""ENTER_SELL"": 5196}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
no_policy,0.50,oos,134369,10425,0.077585,0.308489,0.30675,0.309502,0.090305,941.43,1.153509,292.51,"{""DO_NOTHING"": 123944, ""ENTER_BUY"": 3837, ""ENTER_SELL"": 6588}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
rich_policy_light,0.50,validation,59378,3052,0.0514,0.289974,0.269311,0.324824,0.135524,413.62,1.247187,159.95,"{""DO_NOTHING"": 56326, ""ENTER_BUY"": 1916, ""ENTER_SELL"": 1136}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
rich_policy_light,0.50,test,74991,4562,0.060834,0.334064,0.349103,0.328537,0.12726,580.56,1.217275,244.24,"{""DO_NOTHING"": 70429, ""ENTER_BUY"": 1226, ""ENTER_SELL"": 3336}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
rich_policy_light,0.50,oos,134369,7614,0.056665,0.316391,0.300446,0.327594,0.130573,994.18,1.228794,244.24,"{""DO_NOTHING"": 126755, ""ENTER_BUY"": 3142, ""ENTER_SELL"": 4472}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
rich_policy_medium,0.50,validation,59378,1912,0.0322,0.308577,0.291107,0.3375,0.230429,440.58,1.454835,75.21,"{""DO_NOTHING"": 57466, ""ENTER_BUY"": 1192, ""ENTER_SELL"": 720}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
rich_policy_medium,0.50,test,74991,2995,0.039938,0.337563,0.385256,0.318942,0.163092,488.46,1.28919,134.09,"{""DO_NOTHING"": 71996, ""ENTER_BUY"": 841, ""ENTER_SELL"": 2154}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
rich_policy_medium,0.50,oos,134369,4907,0.036519,0.326269,0.330054,0.323591,0.18933,929.04,1.349563,134.09,"{""DO_NOTHING"": 129462, ""ENTER_BUY"": 2033, ""ENTER_SELL"": 2874}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
rich_policy_strict,0.50,validation,59378,682,0.011486,0.262463,0.256696,0.273504,0.101261,69.06,1.183651,57.3,"{""DO_NOTHING"": 58696, ""ENTER_BUY"": 448, ""ENTER_SELL"": 234}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}"
rich_policy_strict,0.50,test,74991,1340,0.017869,0.358209,0.488038,0.299349,0.252873,338.85,1.475853,59.38,"{""DO_NOTHING"": 73651, ""ENTER_BUY"": 418, ""ENTER_SELL"": 922}","{""DO_NOTHING"": 43774, ""ENTER_BUY"": 15606, ""ENTER_SELL"": 15611}"
rich_policy_strict,0.50,oos,134369,2022,0.015048,0.325915,0.36836,0.294118,0.201736,407.91,1.374872,67.02,"{""DO_NOTHING"": 132347, ""ENTER_BUY"": 866, ""ENTER_SELL"": 1156}","{""DO_NOTHING"": 86224, ""ENTER_BUY"": 23754, ""ENTER_SELL"": 24391}"
