variant,threshold,year,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
no_policy,0.40,2024,59378,20564,0.346324,0.239739,0.2323,0.250294,0.014781,303.96,1.025651,566.89,"{""DO_NOTHING"": 38814, ""ENTER_BUY"": 12062, ""ENTER_SELL"": 8502}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
no_policy,0.40,2025,58681,28153,0.479763,0.301566,0.322174,0.289668,0.064966,1829.0,1.108597,473.62,"{""DO_NOTHING"": 30528, ""ENTER_BUY"": 10305, ""ENTER_SELL"": 17848}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
no_policy,0.40,2026,16310,7089,0.434641,0.283115,0.307654,0.273302,0.028488,201.95,1.047433,513.93,"{""DO_NOTHING"": 9221, ""ENTER_BUY"": 2025, ""ENTER_SELL"": 5064}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
rich_policy_light,0.40,2024,59378,17733,0.298646,0.244178,0.241703,0.247634,0.037347,662.27,1.065807,506.82,"{""DO_NOTHING"": 41645, ""ENTER_BUY"": 10335, ""ENTER_SELL"": 7398}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
rich_policy_light,0.40,2025,58681,21778,0.371125,0.298053,0.317497,0.286242,0.064251,1399.26,1.107747,301.69,"{""DO_NOTHING"": 36903, ""ENTER_BUY"": 8230, ""ENTER_SELL"": 13548}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
rich_policy_light,0.40,2026,16310,6054,0.371183,0.28857,0.282866,0.291091,0.056544,342.32,1.096514,236.12,"{""DO_NOTHING"": 10256, ""ENTER_BUY"": 1856, ""ENTER_SELL"": 4198}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
rich_policy_medium,0.40,2024,59378,11425,0.192411,0.239387,0.244259,0.232465,0.055587,635.08,1.101081,348.18,"{""DO_NOTHING"": 47953, ""ENTER_BUY"": 6706, ""ENTER_SELL"": 4719}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
rich_policy_medium,0.40,2025,58681,15701,0.267565,0.299535,0.318581,0.28691,0.098233,1542.35,1.170274,266.14,"{""DO_NOTHING"": 42980, ""ENTER_BUY"": 6259, ""ENTER_SELL"": 9442}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
rich_policy_medium,0.40,2026,16310,4266,0.261557,0.280591,0.269578,0.285568,0.074543,318.0,1.131373,145.87,"{""DO_NOTHING"": 12044, ""ENTER_BUY"": 1328, ""ENTER_SELL"": 2938}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
rich_policy_strict,0.40,2024,59378,5411,0.091128,0.214193,0.208358,0.223859,0.010283,55.64,1.018491,241.8,"{""DO_NOTHING"": 53967, ""ENTER_BUY"": 3374, ""ENTER_SELL"": 2037}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
rich_policy_strict,0.40,2025,58681,8862,0.15102,0.299707,0.322739,0.281851,0.146421,1297.58,1.266387,179.45,"{""DO_NOTHING"": 49819, ""ENTER_BUY"": 3870, ""ENTER_SELL"": 4992}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
rich_policy_strict,0.40,2026,16310,2262,0.138688,0.27321,0.245179,0.286458,0.037193,84.13,1.063727,167.66,"{""DO_NOTHING"": 14048, ""ENTER_BUY"": 726, ""ENTER_SELL"": 1536}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
no_policy,0.50,2024,59378,3660,0.061639,0.285792,0.264109,0.321121,0.105413,385.81,1.187423,193.23,"{""DO_NOTHING"": 55718, ""ENTER_BUY"": 2268, ""ENTER_SELL"": 1392}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
no_policy,0.50,2025,58681,5032,0.085752,0.326113,0.374001,0.308071,0.104271,524.69,1.175655,292.51,"{""DO_NOTHING"": 53649, ""ENTER_BUY"": 1377, ""ENTER_SELL"": 3655}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
no_policy,0.50,2026,16310,1733,0.106254,0.305251,0.328125,0.302401,0.017848,30.93,1.02845,275.3,"{""DO_NOTHING"": 14577, ""ENTER_BUY"": 192, ""ENTER_SELL"": 1541}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
rich_policy_light,0.50,2024,59378,3052,0.0514,0.289974,0.269311,0.324824,0.135524,413.62,1.247187,159.95,"{""DO_NOTHING"": 56326, ""ENTER_BUY"": 1916, ""ENTER_SELL"": 1136}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
rich_policy_light,0.50,2025,58681,3357,0.057208,0.329759,0.359733,0.316154,0.118284,397.08,1.200743,244.24,"{""DO_NOTHING"": 55324, ""ENTER_BUY"": 1048, ""ENTER_SELL"": 2309}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
rich_policy_light,0.50,2026,16310,1205,0.073881,0.346058,0.286517,0.356378,0.152266,183.48,1.264399,72.0,"{""DO_NOTHING"": 15105, ""ENTER_BUY"": 178, ""ENTER_SELL"": 1027}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
rich_policy_medium,0.50,2024,59378,1912,0.0322,0.308577,0.291107,0.3375,0.230429,440.58,1.454835,75.21,"{""DO_NOTHING"": 57466, ""ENTER_BUY"": 1192, ""ENTER_SELL"": 720}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
rich_policy_medium,0.50,2025,58681,2116,0.036059,0.334594,0.406685,0.297568,0.155534,329.11,1.274082,134.09,"{""DO_NOTHING"": 56565, ""ENTER_BUY"": 718, ""ENTER_SELL"": 1398}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
rich_policy_medium,0.50,2026,16310,879,0.053893,0.34471,0.260163,0.358466,0.181286,159.35,1.326343,80.0,"{""DO_NOTHING"": 15431, ""ENTER_BUY"": 123, ""ENTER_SELL"": 756}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
rich_policy_strict,0.50,2024,59378,682,0.011486,0.262463,0.256696,0.273504,0.101261,69.06,1.183651,57.3,"{""DO_NOTHING"": 58696, ""ENTER_BUY"": 448, ""ENTER_SELL"": 234}","{""DO_NOTHING"": 42450, ""ENTER_BUY"": 8148, ""ENTER_SELL"": 8780}",False
rich_policy_strict,0.50,2025,58681,926,0.01578,0.37041,0.54519,0.267581,0.295972,274.07,1.572135,59.38,"{""DO_NOTHING"": 57755, ""ENTER_BUY"": 343, ""ENTER_SELL"": 583}","{""DO_NOTHING"": 34044, ""ENTER_BUY"": 12416, ""ENTER_SELL"": 12221}",False
rich_policy_strict,0.50,2026,16310,414,0.025383,0.330918,0.226667,0.353982,0.156473,64.78,1.277954,47.89,"{""DO_NOTHING"": 15896, ""ENTER_BUY"": 75, ""ENTER_SELL"": 339}","{""DO_NOTHING"": 9730, ""ENTER_BUY"": 3190, ""ENTER_SELL"": 3390}",False
